incident_id,offense_code_encoded,offense_category_name_encoded,crime_against_encoded,agency_name_encoded,ct_flag_encoded,ARREST,incident_hour
165375127,10,2,0,21,0,0,19.0
165375133,10,2,0,21,0,1,7.0
165375135,14,4,1,21,1,0,8.0
165375137,14,4,1,21,1,0,11.0
165375140,10,2,0,21,0,0,0.0
165375145,17,14,1,21,0,1,20.0
165375147,9,2,0,21,0,1,22.0
165375148,10,2,0,21,0,0,8.0
165375152,14,4,1,21,1,0,9.0
165375154,34,6,1,21,0,0,17.0
165375156,17,14,1,21,0,0,9.0
165375158,35,7,2,21,0,1,9.0
165375160,14,4,1,21,1,0,11.0
165375163,22,14,1,21,1,0,15.0
165375166,22,14,1,21,1,0,16.0
165375168,17,14,1,21,0,0,20.0
165375170,22,14,1,21,1,1,21.0
165375172,14,4,1,21,1,0,8.0
165375175,28,10,1,21,0,0,14.0
165375177,29,10,1,21,1,0,16.0
165375179,10,2,0,21,0,0,18.0
165375181,10,2,0,21,0,0,1.0
165375183,22,14,1,21,1,0,2.0
165375185,11,2,0,21,0,0,2.0
165375187,11,2,0,21,0,0,7.0
165375194,22,14,1,21,1,0,12.0
165375196,47,23,2,21,0,0,13.0
165375198,14,4,1,21,1,0,14.0
165375201,12,1,1,21,0,0,20.0
165375205,10,2,0,21,0,0,0.0
165375207,14,4,1,21,1,0,11.0
165375209,9,2,0,21,0,0,12.0
165375212,12,1,1,21,0,1,0.0
165375214,17,14,1,21,0,0,15.0
165375216,14,4,1,21,1,0,16.0
165375218,34,6,1,21,0,0,16.0
165375220,10,2,0,21,0,0,16.0
165375222,10,2,0,21,0,0,16.0
165375224,14,4,1,21,1,0,20.0
165375227,10,2,0,21,0,0,0.0
165375229,34,6,1,21,0,0,4.0
165375231,34,6,1,21,0,0,13.0
165375234,14,4,1,21,1,0,17.0
165375235,14,4,1,21,1,0,18.0
165375239,34,6,1,21,0,0,1.0
165375243,23,15,1,21,1,0,8.0
165375246,22,14,1,21,1,0,0.0
165375250,10,2,0,21,0,1,12.0
165375253,23,15,1,21,1,0,0.0
165375255,14,4,1,21,1,0,15.0
165375257,14,4,1,21,1,0,20.0
165375260,29,10,1,21,1,0,0.0
165375262,22,14,1,21,1,0,0.0
